character name,age,height(cm),eyeColor,hairColor,specialPowers,country/placeOfResidence,gender,species,movie,releaseDate
Pazu,13,120,black,brown,0,Laputa,Male,Human,Castle in the Sky,1986
Lusheeta Toel Ul Laputa,13,120,black,black,1,Laputa,Female,Human,Castle in the Sky,1986
Dola,60,N/A,black,peach,0,Laputa,Female,Human,Castle in the Sky,1986
Romka Palo Ul Laputa,33,N/A,black,brown,0,Laputa,Male,Human,Castle in the Sky,1986
Uncle Pom,N/A,N/A,black,white,0,Laputa,Male,Human,Castle in the Sky,1986
General Muoro,N/A,N/A,black,bald,0,Laputa,Male,Human,Castle in the Sky,1986
Duffi,N/A,N/A,dark brown,dark brown,0,Laputa,Male,Human,Castle in the Sky,1986
Louis,30,N/A,dark brown,dark brown,0,Laputa,Male,Human,Castle in the Sky,1986
Charles ,N/A,N/A,dark brown,light brown,0,Laputa,Male,Human,Castle in the Sky,1986
Henri,N/A,N/A,dark brown,reddish brown,0,Laputa,Male,Human,Castle in the Sky,1986
Motro,N/A,N/A,dark brown,bald,0,Laputa,Male,Human,Castle in the Sky,1986
Okami,50,N/A,dark brown,orange,0,Laputa,Female,Human,Castle in the Sky,1986
Colonel Muska,33,N/A,grey,brown,0,Laputa,Male,Human,Castle in the Sky,1986
Satsuki Kusakabe,11,110,dark brown,dark brown,0,Japan,Female,Human,My Neighbor Totoro,1988
Mei Kusakabe,4,100,brown,light brown,0,Japan,Female,Human,My Neighbor Totoro,1988
Tatsuo Kusakabe,37,N/A,brown,light brown,0,Japan,Male,Human,My Neighbor Totoro,1988
Yasuko Kusakabe,36,N/A,brown,dark brown,0,Japan,Female,Human,My Neighbor Totoro,1988
Granny,N/A,N/A,black,grey,0,Japan,Female,Human,My Neighbor Totoro,1988
Kanta Ogaki,11,N/A,brown,brown,0,Japan,Male,Human,My Neighbor Totoro,1988
Totoro,1302,215,grey,grey,1,Japan,Male,Totoro,My Neighbor Totoro,1988
Chu Totoro,679,N/A,black,blue,1,Japan,N/A,Totoro,My Neighbor Totoro,1988
Chibi Totoro,109,N/A,black,white,1,Japan,N/A,Totoro,My Neighbor Totoro,1988
Catbus,N/A,N/A,yellow,brown,1,Japan,Male,Bakeneko,My Neighbor Totoro,1988
Kiki,13,130,black,brown,1,Japan,Female,Witch,Kiki's Delivery Service,1989
Jiji,13,20,black,black,1,Japan,Male,Cat,Kiki's Delivery Service,1989
Ursula,18,170,black,red ,1,Japan,Female,Witch,Kiki's Delivery Service,1989
Kopoli (aka Tombo),14,N/A,black,brown,0,Europe,Male,Human,Kiki's Delivery Service,1989
Osono,30,N/A,brown,red,0,Europe,Female,Human,Kiki's Delivery Service,1989
Fukuo,N/A,N/A,black,black,0,Europe,Male,Human,Kiki's Delivery Service,1989
Seita Yokokawa,14,N/A,black,black,0,Japan,Male,Human,Grave of the Fireflies,1988
Setsuko Yokokawa,4,N/A,black,black,0,Japan,Female,Human,Grave of the Fireflies,1988
Mrs. Yokokawa,N/A,N/A,black,black,0,Japan,Female,Human,Grave of the Fireflies,1988
Kiyoshi Yokokawa,40,N/A,black,brown,0,Japan,Male,Human,Grave of the Fireflies,1988
Seita's Aunt,N/A,N/A,black,black,0,Japan,Female,Human,Grave of the Fireflies,1988
Taeko Okajima,27,N/A,black,brown,0,Japan,Female,Human,Grave of the Fireflies,1988
Toshio,N/A,N/A,black,black,0,Japan,Male,Human,Only Yesterday,1991
Mr. Okajima,N/A,N/A,black,black,0,Japan,Male,Human,Only Yesterday,1991
Mrs. Okajima,N/A,N/A,black,light brown,0,Japan,Female,Human,Only Yesterday,1991
Grandmother Okajima,N/A,N/A,black,grey,0,Japan,Female,Human,Only Yesterday,1991
Nanako Okajima,18,N/A,black,light brown,0,Japan,Female,Human,Only Yesterday,1991
Yaeko Okajima,16,N/A,black,grey,0,Japan,Female,Human,Only Yesterday,1991
Tani Tsuneko,10,N/A,black,black,0,Japan,Female,Human,Only Yesterday,1991
Aiko,10,N/A,black,grey brown,0,Japan,Female,Human,Only Yesterday,1991
Toko,10,N/A,black,light brown,0,Japan,Female,Human,Only Yesterday,1991
Rie,10,N/A,black,grey,0,Japan,Female,Human,Only Yesterday,1991
Porco Rosso,47,N/A,black,brown,0,Italy,Male,Human,Porco Rosso,1992
Donald Curtis,N/A,N/A,brown,brown,0,Italy,Male,Human,Porco Rosso,1992
Fio Picccolo,17,160,brown,red,0,Italy,Female,Human,Porco Rosso,1992
Gina,29,N/A,brown,brown,0,Italy,Female,Human,Porco Rosso,1992
Mr. Piccolo,N/A,N/A,brown,black,0,Italy,Male,Human,Porco Rosso,1992
Capo,N/A,N/A,black ,bald,0,Italy,Male,Human,Porco Rosso,1992
Ferrari,N/A,N/A,black,black,0,Italy,Male,Human,Porco Rosso,1992
Shoukichi,N/A,N/A,black,brown,1,Japan,Male,Raccoon Dog,Pom Poko,1994
Okiyo,N/A,N/A,black,brown,1,Japan,Female,Raccoon Dog,Pom Poko,1994
