character name,age,eyeColor,hairColor,special powers,country / place of residence,gender,Species,movie,release date
Pazu,13,black,brown,N/A,Laputa,Male,Human,Castle in the Sky,1986
Lusheeta Toel Ul Laputa,13,black,black,N/A,Laputa,Female,Human,Castle in the Sky, 1986
Dola,60,black,peach,N/A,Laputa,Female,Human,Castle in the Sky,1986
Romska Palo Ul Laputa,33,black,brown,N/A,Laputa,Male,Human,Castle in the Sky,1986
Uncle Pom,N/A,black,white,N/A,Laputa,Male,Human,Castle in the Sky,1986
General Muoro,N/A,black,none,N/A,Laputa,Male,Human,Castle in the Sky,1986
Duffi,N/A,dark brown,dark brown,N/A,Laputa,Male,Human,Castle in the Sky,1986
Louis,30,dark brown,dark brown,N/A,Laputa,Male,Human,Castle in the Sky,1986
Charles,N/A,dark brown,light brown,N/A,Laputa,Male,Human,Castle in the Sky,1986
Henri,N/A,dark brown,reddish brown,N/A,Laputa,Male,Human,Castle in the Sky,1986
Motro,N/A,dark brown,none,N/A,Laputa,Male,Human,Castle in the Sky,1986
Okami,50,dark brown,orange,N/A,Laputa,Female,Human,Castle in the Sky,1986
Colonel Muska,33,grey,brown,N/A,Laputa,Male,Human,Castle in the Sky,1986
Satsuki Kusakabe,11,dark brown,dark brown,N/A,Japan,Female,Human,My Neighbor Totoro,1988
Mei Kusakabe,4,brown,light brown,N/A,Japan,Female,Human,My Neighbor Totoro,1988
Tatsuo Kusakabe,37,brown,dark brown,N/A,Japan,Male,Human,My Neighbor Totoro,1988
Yasuko Kusakabe,36,brown,dark brown,N/A,Japan,Female,Human,My Neighbor Totoro,1988
Granny,N/A,black,grey,N/A,Japan,Female,Human,My Neighbor Totoro,1988
Kanta Ogaki,11,brown,brown,N/A,Japan,Male,Human,My Neighbor Totoro,1988
Totoro,1300,grey,grey,"flight,telportation",Japan,Male,Totoro,My Neighbor Totoro,1988
Chu Totoro,N/A,black,blue,N/A,Japan,N/A,Totoro,My Neighbor Totoro,1988
Chibi Totoro,N/A,black,white,N/A,Japan,N/A,Totoro,My Neighbor Totoro,1988
Catbus,N/A,yellow,brown,"flight,command trees to separate,run vertically,invisibility,emit lights,detect lost humans,immune to electricity,long life span",Japan,Male,Bakeneko,My Neighbor Totoro,1988
Kiki,13,black,brown,"flight,broomstick flying",Japan,Female,Witch,Kiki's Delivery Service,1989
Jiji,13,black,black,shape-shifting,Japan,Male,Cat,Kiki's Delivery Service,1989
Ursula,18,black,red,"shape-shifting, size-manipulation",Europe,Female,Witch,Kiki's Delivery Service,1989
Kopoli(aka Tombo),14,black,brown,N/A,Europe,Male,Human,Kiki's Delivery Service,1989
Osono,30,brown,red,N/A,Europe,Female,Human,Kiki's Delivery Service,1989
Fukuo,N/A,black,black,N/A,Europe,Male,Human,Kiki's Delivery Service,1989
Seita Yokokawa,14,black,black,N/A,Japan,Male,Human,Grave of the Fireflies,1988
Setsuko Yokokawa,4,black,black,N/A,Japan,Female,Human,Grave of the Fireflies,1988
Mrs. Yokokawa,N/A,black,black,N/A,Japan,Female,Human,Grave of the Fireflies,1988
Kiyoshi Yokokawa,40,black,brown,N/A,Japan,Male,Human,Grave of the Fireflies,1988
Seita's Aunt,N/A,black,black,N/A,Japan,Female,Human,Grave of the Fireflies,1988
Taeko Okajima,27,black,brown,N/a,Japan,Female,Human,Only Yesterday,1991
Toshio,N/A,black,black,N/A,Japan,Male,Human,Only Yesterday,1991
Mr. Okajima,N/A,black,black,N/A,Japan,Male,Human,Only Yesterday,1991
Mrs. Okajima,N/A,black,light brown,N/A,Japan,Female,Human,Only Yesterday,1991
Grandmother Okajima,N/A,black,grey,N/A,Japan,Female,Human,Only Yesterday,1991
Nanako Okajima,18,black,light brown,N/A,Japan,Female,Human,Only Yesterday,1991
Yaeko Okajima,16,black,grey,N/A,Japan,Female,Human,Only Yesterday,1991
Tani Tsuneko,10,black,black,N/A,Japan,Female,Human,Only Yesterda,1991
Aiko,10,black,grey brown,N/A,Japan,Female,Human,Only Yesterday,1991
Toko,10,black,light brown,N/A,Japan,Female,Human,Only Yesterday,1991
Rie,10,black,grey,N/A,Japan,Female,Human,Only Yesterday,1991
Porco Rosso,47,black,brown,N/A,Europe,Male,Human,Porco Rosso,1992
Donald Curtis,N/A,brown,brown,N/A,Europe,Male,Human,Porco Rosso,1992
Fio Piccolo,17,brown,red,N/A,Europe,Female,Human,Porco Rosso,1992
Gina,29,brown,brown,N/A,Europe,Female,Human,Porco Rosso,1992
Mr. Piccolo,N/A,brown,black,N/A,Europe,Male,Human,Porco Rosso,1992
Capo,N/A,black,bald,N/A,Europe,Male,Human,Porco Rosso,1992
Ferrari,N/A,black,black,N/A,Europe,Male,Human,Porco Rosso,1992
Shoukichi,N/A,black,brown,shape-shifting,Japan,Male,Raccoon Dog,Pom Poko,1994
Okiyo,N/A,black,brown,shape-shifting,Japan,Female,Raccoon Dog,Pom Poko,1994
Seizaemon,N/A,black,grey,shape-shifting,Japan,Male,Raccoon Dog,Pom Poko,1994
Oroku,N/A,black,grey brown,shape-shifting,Japan,Female,Raccoon Dog,Pom Poko,1994
Gonta,N/A,black,grey,shape-shifting,Japan,Male,Raccoon Dog,Pom Poko,1994
Inugami Gyobu,N/A,black,grey brown,shape-shifting,Japan,Male,Raccoon Dog,Pom Poko,1994
Shizuku Tsukishima,14,black,light black,N/A,Japan,Female,Human,Whisper of the Heart,1995
Baron Humbert von Gikkingen,N/A,green,yellow,N/A,Japan,Male,Cat,Whisper of the Heart,1995
Seiji Amasawa,15,black,black,N/A,Japan,Male,Human,Whisper of the Heart,1995
Yuko Harada,14,black,brown,N/A,Japan,Female,Human,Whisper of the Heart,1995
Sugimura,14,black,brown,N/A,Japan,Male,Human,Whisper of the Heart,1995
Seiya Tsukishima,40,black,brown,N/A,Japan,Male,Human,Whisper of the Heart,1995
Asako Tsukishima,39,black,brown,N/A,Japan,Female,Human,Whisper of the Heart,1995
Shiro Nishi,70,black,white,N/A,Japan,Male,Human,Whisper of the Heart,1995
Shiho Tsukishima,18,black,brown,N/A,Japan,Female,Human,Whisper of the Heart,1995
Ashitaka,17,brown,brown,N/A,Japan,Male,Human,Princess Mononoke,1997
